text,emotion
"dzisiaj jest piękna pogoda, mam nadzieję, że będzie trwała przez cały dzień.",0
"""och, ale świetny dzień! słońce świeci, ptaki pięknie śpiewają, a ja czuję się tak pełen energii i radości! wszystko wydaje się być pełne kolorów i życia. nie mogę się doczekać, co ten wspaniały dzień jeszcze mi przyniesie. jestem gotowy do przyjmowania przygód i cieszenia się każdą chwilą. niech ten uśmiech na mojej twarzy trwa przez cały dzień - tak, jestem naprawdę szczęśliwy!""",1
"""nic się nie udaje, wszystko idzie nie po mojej myśli. cały świat jest przeciwko mnie i nie widzę żadnej nadziei na poprawę. czuję się tak samotny i przygnębiony, że nie wiem, jak mam dalej funkcjonować.""",2
"""jestem teraz w ciemnym, pustym domu. słyszę ciche, dziwaczne odgłosy dochodzące z trzeciego piętra. drży mi ręka, gdy zbliżam się do schodów. wchodzę po krzywych stopniach, ale nie ma nikogo. nagle, niespodziewanie, drzwi się zamykają. zaczynam panikować, bo czuję się uwięziony. ciemność mnie ogarnia, a w mojej głowie pojawiają się złowieszcze myśli. coś czyha na mnie, czuję to. próbuję otworzyć drzwi, ale są zamknięte. moje serce zaczyna bić coraz szybciej. czy ktoś tam jest? czy spotka mnie coś złego? strach pochłania mnie w całości, nie wiem, jak z tego wyjść...""",3
"cholera, nie żebym się czepiał, ale ile można być takim ignorantem i robić takie głupie błędy?!",4
"jesteś taki odrażający, że patrzenie na ciebie powoduje mdłości. masz mordę, która zasługuje na przysłowiową pięść. przez ciebie świat staje się brzydki i pełen zepsucia. nie potrafię znaleźć ani jednego pozytywnego aspektu w twojej osobowości. jesteś jak zarażająca zaraza, która powinna być odizolowana od ludzkości.",5
"okej, pomyślę nad tym i odpowiem ci wkrótce.",0
"""hej, uwielbiam ten piękny słoneczny dzień! czas na piknik i radosne spotkanie z przyjaciółmi. nie ma nic lepszego niż śmiech i dobra zabawa. niech życie pełne będzie uśmiechu i pozytywnej energii!""",1
"""moje serce jest roztrzaskane, jak kawałki rozbitego lustra. wszystko, czego pragnąłem, zostało mi zabrane. teraz jestem tylko cieniem samego siebie, dryfującym przez życie bez żadnego sensu. nie jestem pewien, czy kiedykolwiek znajdę drogę powrotną do szczęścia.""",2
"""o mój boże, co to było?! odsunąłem się tylko na chwilę i teraz wszystko się zmieniło! to miejsce wygląda zupełnie inaczej, nie mogę znaleźć drogi powrotnej! czuję się tak przerażony i zagubiony, nie wiem co robić... czy ktoś mi pomoże?""",3
nie mogę już dłużej tego słuchać! jestem tak wkurzony tym cały bezsensownym gadaniem!,4
"o kurczę, nie zgadniecie, co zobaczyłem dzisiaj na ulicy... jakiś gość szedł w starej, obskurnej koszuli, która była przesiąknięta na pewno nieprzyjemnym zapachem. wyglądał tak brudno, że aż się we mnie przewróciło. mam nadzieję, że takiego człowieka więcej nie spotkam... nie da się znieść takich widoków!",5
"ok, zrozumiałem.",0
"""życie jest piękne, a ja jestem szczęśliwy, że mogę je cieszyć!""",1
"""nigdy nie będę miał tego, czego chcę, więc po co mam się starać?""",2
"""myślę, że to dobry pomysł.""",0
"świat jest piękny i mam szczęście, że mogę go cieszyć każdego dnia.",1
"""czuję się tak samotny i bezradny. nie wiem, co mam zrobić, by wszystko wróciło do normy.""",2
"""nie wiem, co się stanie, jeśli tego nie zrobimy. boję się, że będziemy musieli zmierzyć się z nieprzyjemnymi konsekwencjami.""",3
"""nie mam czasu na to! to jest po prostu bezsensowne!""",4
"""myślę, że warto zapoznać się z sytuacją i wyciągnąć właściwe wnioski.""",0
"śmiech to zdrowie! życie jest zbyt krótkie, by nie cieszyć się z każdej chwili!",1
"""wszystkie moje starania okazały się daremne, nic nie osiągnąłem.""",2
"""nie wiem, co się stanie, jeśli to zrobimy. boję się.""",3
"""nie mam czasu na twoje głupoty! jeśli nie masz niczego mądrego do powiedzenia, to wyjdź z mojego życia!""",4
"""śmierdzi tu jak połączenie zgniłych jaj i zepsutego mleka.""",5
"""hmm, to jest dziwne.""",6
"""myślę, że wszystko zależy od okoliczności.""",0
"jestem tak szczęśliwy, że mogę cieszyć się każdym dniem życia i wszystkim, co mam!",1
