text,emotion
"Dzisiaj jest piękna pogoda, mam nadzieję, że będzie trwała przez cały dzień.",0
"""Och, ale świetny dzień! Słońce świeci, ptaki pięknie śpiewają, a ja czuję się tak pełen energii i radości! Wszystko wydaje się być pełne kolorów i życia. Nie mogę się doczekać, co ten wspaniały dzień jeszcze mi przyniesie. Jestem gotowy do przyjmowania przygód i cieszenia się każdą chwilą. Niech ten uśmiech na mojej twarzy trwa przez cały dzień - tak, jestem naprawdę szczęśliwy!""",1
"""Nic się nie udaje, wszystko idzie nie po mojej myśli. Cały świat jest przeciwko mnie i nie widzę żadnej nadziei na poprawę. Czuję się tak samotny i przygnębiony, że nie wiem, jak mam dalej funkcjonować.""",2
"""Jestem teraz w ciemnym, pustym domu. Słyszę ciche, dziwaczne odgłosy dochodzące z trzeciego piętra. Drży mi ręka, gdy zbliżam się do schodów. Wchodzę po krzywych stopniach, ale nie ma nikogo. Nagle, niespodziewanie, drzwi się zamykają. Zaczynam panikować, bo czuję się uwięziony. Ciemność mnie ogarnia, a w mojej głowie pojawiają się złowieszcze myśli. Coś czyha na mnie, czuję to. Próbuję otworzyć drzwi, ale są zamknięte. Moje serce zaczyna bić coraz szybciej. Czy ktoś tam jest? Czy spotka mnie coś złego? Strach pochłania mnie w całości, nie wiem, jak z tego wyjść...""",3
"Cholera, nie żebym się czepiał, ale ile można być takim ignorantem i robić takie głupie błędy?!",4
"Jesteś taki odrażający, że patrzenie na ciebie powoduje mdłości. Masz mordę, która zasługuje na przysłowiową pięść. Przez ciebie świat staje się brzydki i pełen zepsucia. Nie potrafię znaleźć ani jednego pozytywnego aspektu w twojej osobowości. Jesteś jak zarażająca zaraza, która powinna być odizolowana od ludzkości.",5
"Okej, pomyślę nad tym i odpowiem Ci wkrótce.",0
"""Hej, uwielbiam ten piękny słoneczny dzień! Czas na piknik i radosne spotkanie z przyjaciółmi. Nie ma nic lepszego niż śmiech i dobra zabawa. Niech życie pełne będzie uśmiechu i pozytywnej energii!""",1
"""Moje serce jest roztrzaskane, jak kawałki rozbitego lustra. Wszystko, czego pragnąłem, zostało mi zabrane. Teraz jestem tylko cieniem samego siebie, dryfującym przez życie bez żadnego sensu. Nie jestem pewien, czy kiedykolwiek znajdę drogę powrotną do szczęścia.""",2
"""O mój Boże, co to było?! Odsunąłem się tylko na chwilę i teraz wszystko się zmieniło! To miejsce wygląda zupełnie inaczej, nie mogę znaleźć drogi powrotnej! Czuję się tak przerażony i zagubiony, nie wiem co robić... Czy ktoś mi pomoże?""",3
Nie mogę już dłużej tego słuchać! Jestem tak wkurzony tym cały bezsensownym gadaniem!,4
"O kurczę, nie zgadniecie, co zobaczyłem dzisiaj na ulicy... Jakiś gość szedł w starej, obskurnej koszuli, która była przesiąknięta na pewno nieprzyjemnym zapachem. Wyglądał tak brudno, że aż się we mnie przewróciło. Mam nadzieję, że takiego człowieka więcej nie spotkam... Nie da się znieść takich widoków!",5
"Ok, zrozumiałem.",0
"""Życie jest piękne, a ja jestem szczęśliwy, że mogę je cieszyć!""",1
"""Nigdy nie będę miał tego, czego chcę, więc po co mam się starać?""",2
"""Myślę, że to dobry pomysł.""",0
"Świat jest piękny i mam szczęście, że mogę go cieszyć każdego dnia.",1
"""Czuję się tak samotny i bezradny. Nie wiem, co mam zrobić, by wszystko wróciło do normy.""",2
"""Nie wiem, co się stanie, jeśli tego nie zrobimy. Boję się, że będziemy musieli zmierzyć się z nieprzyjemnymi konsekwencjami.""",3
"""Nie mam czasu na to! To jest po prostu bezsensowne!""",4
"""Myślę, że warto zapoznać się z sytuacją i wyciągnąć właściwe wnioski.""",0
"Śmiech to zdrowie! Życie jest zbyt krótkie, by nie cieszyć się z każdej chwili!",1
"""Wszystkie moje starania okazały się daremne, nic nie osiągnąłem.""",2
"""Nie wiem, co się stanie, jeśli to zrobimy. Boję się.""",3
"""Nie mam czasu na twoje głupoty! Jeśli nie masz niczego mądrego do powiedzenia, to wyjdź z mojego życia!""",4
"""Śmierdzi tu jak połączenie zgniłych jaj i zepsutego mleka.""",5
"""Hmm, to jest dziwne.""",6
"""Myślę, że wszystko zależy od okoliczności.""",0
